Source;Target;Type;Weight
arsene_porcia;phoenice;Undirected;3
artabanus;cato;Undirected;3
arsene_porcia;caesar;Undirected;3
arsene_porcia;cato;Undirected;4
caesar;pharnaces;Undirected;1
artabanus;phokas;Undirected;4
felix;pharnaces;Undirected;2
domitius;porcius;Undirected;1
pharnaces;porcius;Undirected;2
arsene_porcia;porcius;Undirected;5
arsene_porcia;pharnaces;Undirected;2
artabanus;porcius;Undirected;2
arsene_porcia;phokas;Undirected;2
cato;felix;Undirected;1
phokas;porcius;Undirected;3
phoenice;phokas;Undirected;1
caesar;cato;Undirected;3
cato;pharnaces;Undirected;1
domitius;phokas;Undirected;1
cato;porcius;Undirected;6
caesar;domitius;Undirected;2
arsene_porcia;domitius;Undirected;2
caesar;porcius;Undirected;1
cato;phokas;Undirected;4
cato;domitius;Undirected;2
