Id;Label
schulmeister;Der Schulmeister
tobies;Tobies
gottliebchen;Gottliebchen
teufel;Der Teufel
erster_naturhistoriker;Erster Naturhistoriker
zweiter_naturhistoriker;Zweiter Naturhistoriker
dritter_naturhistoriker;Dritter Naturhistoriker
vierter_naturhistoriker;Vierter Naturhistoriker
rattengift;Rattengift
liddy;Liddy
wernthal;Herr von Wernthal
baron;Baron von Haldungen
ein_diener_1-3;Ein Diener (I/3)
der_bediente_1-4;Ein Bedienter (I/4)
schmied;Der Schmied
freiherr;Freiherr von Mordax
mollfels;Mollfels
der_bediente_2-4;Ein Bedienter (II/4)
gretchen;Gretchen
einer_von_ihnen;Einer von ihnen (den Naturhistorikern)
die_spiessgesellen;Die Spießgesellen
der_hauswirt;Der Hauswirt
ein_diener_3-6a;Ein Diener (III/6)
des_teufels_grossmutter;Des Teufels Großmutter
nero;Kaiser Nero
der_bediente_3-6b;Ein Bedienter (III/6)
grabbe;Grabbe
